Sample,Roll,Pitch,Yaw
863,-0.026,0.056,316.013
864,-0.014,0.062,316.025
865,-0.044,0.07,316.037
866,-0.037,0.056,316.049
867,-0.06,0.031,316.06
868,-0.069,0.021,316.094
869,-0.105,0.001,316.126
870,-0.082,-0.016,316.157
871,-0.082,-0.044,316.188
872,-0.11,-0.051,316.218
873,-0.109,-0.056,316.217
874,-0.108,-0.041,316.215
875,-0.092,-0.042,316.214
876,-0.075,-0.06,316.212
877,-0.07,-0.022,316.211
878,-0.062,-0.002,316.207
879,-0.072,0.005,316.203
880,-0.084,0.009,316.198
881,-0.071,-0.015,316.194
882,-0.049,-0.025,316.19
883,-0.055,-0.022,316.187
884,-0.077,0.001,316.191
885,-0.057,0.003,316.195
886,-0.039,-0.008,316.198
887,-0.043,-0.016,316.202
888,-0.048,0.004,316.206
889,-0.029,0.033,316.175
890,-0.012,0.051,316.145
891,0.006,0.056,316.114
892,0.032,0.077,316.086
893,0.042,0.102,316.057
894,0.021,0.072,316.069
895,0.01,0.042,316.08
896,0.012,0.056,316.091
897,0.04,0.035,316.101
898,0.03,0.026,316.111
899,0.028,0.02,316.132
900,0.003,0.008,316.151
901,0.003,-0.03,316.169
902,0.012,-0.047,316.188
903,-0.004,-0.061,316.205
904,0.003,-0.044,316.166
905,0.003,-0.012,316.128
906,0.014,0.017,316.091
907,0.028,0.027,316.053
908,0.048,0.051,316.017
909,0.041,0.054,316.037
910,0.03,0.04,316.057
911,0.016,0.008,316.077
912,0.017,-0.021,316.095
913,-0.005,-0.006,316.112
914,-0.002,-0.006,316.114
915,-0.005,0,316.116
916,-0.007,-0.036,316.118
917,-0.011,-0.04,316.119
918,-0.016,-0.046,316.121
919,-0.013,-0.008,316.095
920,0,-0.001,316.07
921,0.017,-0.012,316.044
922,0.017,-0.011,316.019
923,0.037,-0.005,315.995
924,0.048,-0.002,315.988
925,0.05,-0.005,315.98
926,0.05,-0.006,315.973
927,0.048,0,315.966
928,0.054,-0.001,315.958
929,0.047,0.008,315.959
930,0.046,0.022,315.96
931,0.044,0.029,315.961
932,0.037,0.029,315.961
933,0.015,0.042,315.962
934,0.033,0.034,315.963
935,0.036,0.032,315.964
936,0.05,0.046,315.965
937,0.058,0.061,315.966
938,0.067,0.039,315.967
939,0.052,0.051,315.968
940,0.028,0.043,315.969
941,0.043,0.03,315.97
942,0.068,0.031,315.971
943,0.085,0.045,315.971
944,0.081,0.057,315.973
945,0.106,0.053,315.957
946,0.106,0.049,315.941
947,0.128,0.054,315.925
