Samples, Mx, My, Mz
656, 28.158, -10.639, 26.516
657, 28.452, -10.031, 26.063
658, 28.452, -10.031, 26.063
659, 28.452, -10.031, 26.063
660, 28.452, -10.031, 26.063
661, 28.452, -10.031, 26.063
662, 27.129, -9.119, 24.401
663, 27.129, -9.119, 24.401
664, 27.129, -9.119, 24.401
665, 27.129, -9.119, 24.401
666, 27.129, -9.119, 24.401
667, 28.746, -7.447, 26.063
668, 28.746, -7.447, 26.063
669, 28.746, -7.447, 26.063
670, 28.746, -7.447, 26.063
671, 28.746, -7.447, 26.063
672, 28.158, -9.575, 25.156
673, 28.158, -9.575, 25.156
674, 28.158, -9.575, 25.156
675, 28.158, -9.575, 25.156
676, 28.158, -9.575, 25.156
677, 27.864, -8.359, 24.854
678, 27.864, -8.359, 24.854
679, 27.864, -8.359, 24.854
680, 27.864, -8.359, 24.854
681, 27.864, -8.359, 24.854
682, 28.893, -6.991, 24.854
683, 28.893, -6.991, 24.854
684, 28.893, -6.991, 24.854
685, 28.893, -6.991, 24.854
686, 28.893, -6.991, 24.854
687, 28.011, -7.447, 24.552
688, 28.011, -7.447, 24.552
689, 28.011, -7.447, 24.552
690, 28.011, -7.447, 24.552
691, 28.011, -7.447, 24.552
692, 28.011, -7.143, 25.609
693, 28.011, -7.143, 25.609
694, 28.011, -7.143, 25.609
695, 28.011, -7.143, 25.609
696, 28.011, -7.143, 25.609
697, 27.717, -7.143, 25.609
698, 27.717, -7.143, 25.609
699, 27.717, -7.143, 25.609
700, 27.717, -7.143, 25.609
701, 27.717, -7.143, 25.609
702, 27.717, -7.447, 26.365
703, 27.717, -7.447, 26.365
704, 27.717, -7.447, 26.365
705, 27.717, -7.447, 26.365
706, 27.717, -7.447, 26.365
707, 28.011, -6.687, 27.422
708, 28.011, -6.687, 27.422
709, 28.011, -6.687, 27.422
710, 28.011, -6.687, 27.422
711, 28.011, -6.687, 27.422
712, 28.452, -7.447, 26.667
713, 28.452, -7.447, 26.667
714, 28.452, -7.447, 26.667
715, 28.452, -7.447, 26.667
716, 28.452, -7.447, 26.667
717, 25.217, -7.903, 26.667
718, 25.217, -7.903, 26.667
719, 25.217, -7.903, 26.667
720, 25.217, -7.903, 26.667
721, 25.217, -7.903, 26.667
722, 26.687, -7.143, 27.422
723, 26.687, -7.143, 27.422
724, 26.687, -7.143, 27.422
725, 26.687, -7.143, 27.422
726, 26.687, -7.143, 27.422
727, 23.894, -7.143, 28.178
728, 23.894, -7.143, 28.178
729, 23.894, -7.143, 28.178
730, 23.894, -7.143, 28.178
731, 23.894, -7.143, 28.178
732, 23.600, -8.359, 28.631
733, 23.600, -8.359, 28.631
734, 23.600, -8.359, 28.631
735, 23.600, -8.359, 28.631
736, 23.600, -8.359, 28.631
737, 22.129, -8.511, 30.293
738, 22.129, -8.511, 30.293
739, 22.129, -8.511, 30.293
740, 22.129, -8.511, 30.293
741, 22.129, -8.511, 30.293
742, 21.541, -7.599, 30.746
743, 21.541, -7.599, 30.746
744, 21.541, -7.599, 30.746
745, 21.541, -7.599, 30.746
746, 21.541, -7.599, 30.746
747, 18.600, -7.903, 32.257
748, 18.600, -7.903, 32.257
749, 18.600, -7.903, 32.257
750, 18.600, -7.903, 32.257
751, 18.600, -7.903, 32.257
752, 16.395, -7.143, 33.013
753, 16.395, -7.143, 33.013
754, 16.395, -7.143, 33.013
755, 16.395, -7.143, 33.013
756, 16.395, -7.143, 33.013
757, 14.630, -6.687, 33.768
758, 14.630, -6.687, 33.768
759, 14.630, -6.687, 33.768
760, 14.630, -6.687, 33.768
761, 14.630, -6.687, 33.768
762, 13.748, -6.991, 33.919
763, 13.748, -6.991, 33.919
764, 13.748, -6.991, 33.919
765, 13.748, -6.991, 33.919
766, 13.748, -6.991, 33.919
767, 12.425, -5.775, 35.279
768, 12.425, -5.775, 35.279
769, 12.425, -5.775, 35.279
770, 12.425, -5.775, 35.279
771, 12.425, -5.775, 35.279
772, 10.954, -5.775, 36.034
773, 10.954, -5.775, 36.034
774, 10.954, -5.775, 36.034
775, 10.954, -5.775, 36.034
776, 10.954, -5.775, 36.034
777, 9.043, -5.319, 36.186
778, 9.043, -5.319, 36.186
779, 9.043, -5.319, 36.186
780, 9.043, -5.319, 36.186
781, 9.043, -5.319, 36.186
782, 9.484, -5.623, 36.941
783, 9.484, -5.623, 36.941
784, 9.484, -5.623, 36.941
785, 9.484, -5.623, 36.941
786, 9.484, -5.623, 36.941
787, 8.749, -6.383, 36.186
788, 8.749, -6.383, 36.186
789, 8.749, -6.383, 36.186
790, 8.749, -6.383, 36.186
791, 8.749, -6.383, 36.186
792, 7.279, -4.255, 35.883
793, 7.279, -4.255, 35.883
794, 7.279, -4.255, 35.883
795, 7.279, -4.255, 35.883
796, 7.279, -4.255, 35.883
797, 7.720, -4.255, 36.488
798, 7.720, -4.255, 36.488
799, 7.720, -4.255, 36.488
800, 7.720, -4.255, 36.488
801, 7.720, -4.255, 36.488
802, 8.014, -3.495, 36.186
803, 8.014, -3.495, 36.186
804, 8.014, -3.495, 36.186
805, 8.014, -3.495, 36.186
806, 8.014, -3.495, 36.186
807, 8.602, -4.407, 37.092
808, 8.602, -4.407, 37.092
809, 8.602, -4.407, 37.092
810, 8.602, -4.407, 37.092
811, 8.602, -4.407, 37.092
812, 7.279, -3.495, 36.186
813, 7.279, -3.495, 36.186
814, 7.279, -3.495, 36.186
815, 7.279, -3.495, 36.186
816, 7.279, -3.495, 36.186
817, 5.661, -2.887, 37.092
